Food,FDC
Field Pea,788400
Banana,786652
Barley,170284
Beef,170199
Beer,789593
Boye/Yam,170071
Bula,557807
Butter/Ghee,789022
Cassava,169985
Chat / Kat (tree/plant),168553
Cheese,781721
Chick Pea,173756
Coffee,522462
Eggs,578012
Field Pea,787806
Fish (tilapia),175176
Goat & Mutton Meat,175303
Godere (tuber),175303
Green Chili Pepper (Kariya),170497
"Greens (kale, cabbage, etc.)",787780
Ground Nuts,170162
Haricot Beans,173745
Horsebeans,168574
Kocho (banana flour),173945
Lentils,172420
Linseed,492886
Maize,168921
Meat,579240
Milk,431471
Millet,169702
Niger Seed,170144
Oils (processed),789035
Onion,570221
Orange,392522
Pasta/Macaroni,467627
Potato,786980
Poultry,171637
Red pepper (berbere),787812
Salt,394689
Soft drinks/Soda,789519
Sorghum,169716
Sugar,380934
Sweet potato,478350
Tea,366922
Teff,361081
Tomato,475200
Wheat,784607
